Date,h=1,h=3,h=12
7/1960,0.887873717,0.932039892,0.979301385
8/1960,0.902962225,0.942611792,0.982158369
9/1960,0.919516868,0.955740874,0.986411428
10/1960,0.89380625,0.937098303,0.981245666
11/1960,0.884774077,0.930713152,0.979801891
12/1960,0.879011402,0.925815591,0.977995873
1/1961,0.888145064,0.93184072,0.978684857
2/1961,0.870992281,0.917956847,0.973540736
3/1961,0.852799763,0.903432342,0.968591785
4/1961,0.835792303,0.889974009,0.96439997
5/1961,0.831688776,0.886518243,0.963215066
6/1961,0.833969368,0.888166591,0.96378223
7/1961,0.816534185,0.875263544,0.960417483
8/1961,0.815426038,0.87434802,0.960332884
9/1961,0.824905161,0.881620417,0.962542677
10/1961,0.826468548,0.883556032,0.963897646
11/1961,0.836872637,0.891723463,0.966724835
12/1961,0.846323107,0.899981111,0.970024324
1/1962,0.864097606,0.915182758,0.97595831
2/1962,0.888127568,0.93468587,0.982732236
3/1962,0.93617653,0.972296483,0.994954618
4/1962,1.007788979,1.027253688,1.012069597
5/1962,1.058768646,1.066329236,1.024453491
6/1962,1.060496803,1.06893843,1.026143574
7/1962,1.035479779,1.050250464,1.02026245
8/1962,1.011856268,1.031591486,1.013453951
9/1962,1.016544605,1.034016301,1.012604329
10/1962,1.004672712,1.024549855,1.008871801
11/1962,1.01911518,1.033851257,1.009939218
12/1962,0.957134737,0.985742517,0.993707705
1/1963,0.915434221,0.952096932,0.981422513
2/1963,0.853523604,0.903950186,0.965719181
3/1963,0.804768573,0.864763192,0.952101038
4/1963,0.772557145,0.837889709,0.941726156
5/1963,0.745665273,0.814985249,0.932394728
6/1963,0.72669203,0.798651269,0.925404765
7/1963,0.709394221,0.784178157,0.9195064
8/1963,0.704189228,0.779109505,0.916482118
9/1963,0.689020759,0.765722555,0.910304451
10/1963,0.670900596,0.749959054,0.903406724
11/1963,0.657388764,0.737711868,0.89751591
12/1963,0.639658034,0.722441565,0.890932554
1/1964,0.627966236,0.711967885,0.885952214
2/1964,0.61945803,0.704375067,0.88234011
3/1964,0.615833676,0.700811127,0.880328429
4/1964,0.610168314,0.695980053,0.878255735
5/1964,0.602334907,0.689739732,0.876125626
6/1964,0.599733285,0.687727649,0.875528329
7/1964,0.605225031,0.692531642,0.877501751
8/1964,0.612579709,0.698849423,0.879862806
9/1964,0.61959727,0.705020979,0.882348762
10/1964,0.62295228,0.708137061,0.883785726
11/1964,0.635039541,0.718382171,0.887806957
12/1964,0.654109248,0.734259993,0.893621821
1/1965,0.681695933,0.756866552,0.901559738
2/1965,0.684694558,0.760043747,0.903404913
3/1965,0.697913281,0.771444892,0.90796066
4/1965,0.725311676,0.7938258,0.915832579
5/1965,0.756296833,0.818999746,0.924669822
6/1965,0.80084623,0.854252499,0.93632351
7/1965,0.781407925,0.839733197,0.932502913
8/1965,0.769302198,0.830612874,0.930287633
9/1965,0.765211623,0.827740483,0.929954553
10/1965,0.770034647,0.831597781,0.931537072
11/1965,0.774866178,0.835595488,0.933386318
12/1965,0.783059867,0.842851027,0.936635871
1/1966,0.800108459,0.856976825,0.942080882
2/1966,0.816945611,0.871204166,0.948043998
3/1966,0.846959267,0.895288687,0.956731991
4/1966,0.887283396,0.926728994,0.967302288
5/1966,0.939917546,0.966787412,0.980134223
6/1966,0.924791367,0.957644325,0.979752719
7/1966,0.9357926,0.96746326,0.984635507
8/1966,0.972031183,0.995223958,0.994094159
9/1966,0.938716514,0.971948996,0.988857758
10/1966,0.931670772,0.96749062,0.98858373
11/1966,0.935837839,0.970511928,0.989397563
12/1966,0.949320309,0.979713517,0.991103978
1/1967,0.993229926,1.010467105,0.998415921
2/1967,0.941703941,0.973119344,0.988406839
3/1967,0.918820963,0.955770484,0.983471139
4/1967,0.897266335,0.939511265,0.978990004
5/1967,0.892312137,0.935476742,0.977824371
6/1967,0.897101078,0.938043402,0.977667508
7/1967,0.888395264,0.931983666,0.976272313
8/1967,0.870864934,0.919270118,0.973030303
9/1967,0.873661131,0.921760068,0.974286151
10/1967,0.878138431,0.925918122,0.976302033
11/1967,0.877505233,0.925203833,0.975984442
12/1967,0.895761578,0.939216456,0.980261501
1/1968,0.902936546,0.945741028,0.983447182
2/1968,0.919446881,0.957959251,0.986968241
3/1968,0.929994239,0.96617415,0.989783828
4/1968,0.967225441,0.994070044,0.998023846
5/1968,0.927680111,0.964817239,0.989922238
6/1968,0.897883289,0.942878728,0.98432254
7/1968,0.88735711,0.934993784,0.98249972
8/1968,0.880678025,0.929638335,0.980758175
9/1968,0.886430926,0.934014184,0.98239728
10/1968,0.88936714,0.936323954,0.983461533
11/1968,0.913717733,0.954666422,0.989077189
12/1968,0.917353714,0.958595398,0.991648533
1/1969,0.928828746,0.967731515,0.994905109
2/1969,0.963548703,0.994518764,1.003352931
3/1969,0.956539622,0.990166455,1.00284383
4/1969,0.966495162,0.998403582,1.005989408
5/1969,1.00218585,1.025638644,1.014334704
6/1969,1.067952911,1.074613322,1.028770467
7/1969,1.072571521,1.079858989,1.032071413
8/1969,1.060952324,1.072730816,1.031593571
9/1969,1.059702631,1.072670173,1.032679649
10/1969,1.078010886,1.086753188,1.037539185
11/1969,1.088294664,1.094552618,1.04032578
12/1969,1.094850382,1.100696602,1.043675813
