Date,h=1,h=3,h=12
7/1960,0.611546757,0.740911988,0.868681595
8/1960,0.619051499,0.746431768,0.870625936
9/1960,0.625563261,0.752098438,0.874847406
10/1960,0.634596604,0.760146148,0.879393089
11/1960,0.660602004,0.777911664,0.886719747
12/1960,0.676846243,0.791148141,0.894371565
1/1961,0.66673739,0.790277944,0.898771333
2/1961,0.662388691,0.789258205,0.901539505
3/1961,0.661897669,0.787963263,0.899754368
4/1961,0.66575019,0.786358897,0.895078214
5/1961,0.650323008,0.775294275,0.890720834
6/1961,0.640722578,0.768551194,0.887668351
7/1961,0.625819538,0.759714491,0.88514684
8/1961,0.620274914,0.755910837,0.883502215
9/1961,0.622509772,0.754222524,0.878822282
10/1961,0.621200684,0.750094209,0.873571929
11/1961,0.615746021,0.743481023,0.86764731
12/1961,0.60474199,0.736961527,0.863877963
1/1962,0.609055312,0.740048705,0.863352303
2/1962,0.604292663,0.738258907,0.861517881
3/1962,0.593521562,0.729361686,0.857418462
4/1962,0.594058694,0.727584581,0.853718113
5/1962,0.592342239,0.725553621,0.852103509
6/1962,0.587440292,0.721857389,0.849167618
7/1962,0.579105167,0.712818428,0.844006561
8/1962,0.569197008,0.703367355,0.837556888
9/1962,0.5648927,0.698175891,0.831812511
10/1962,0.561355978,0.693073616,0.826612412
11/1962,0.5607289,0.688902158,0.820778967
12/1962,0.558079154,0.682868778,0.814858705
1/1963,0.55741767,0.677909013,0.810302195
2/1963,0.5510262,0.670511451,0.805869908
3/1963,0.542012085,0.664265931,0.803468795
4/1963,0.546088006,0.667000824,0.804610538
5/1963,0.54417665,0.665398791,0.80439597
6/1963,0.540382607,0.663415602,0.804531427
7/1963,0.538136431,0.662087263,0.80534652
8/1963,0.538930078,0.664583834,0.807511009
9/1963,0.539706551,0.66588196,0.80746719
10/1963,0.535965448,0.663673512,0.806843699
11/1963,0.539692407,0.667160222,0.808124463
12/1963,0.547518325,0.670812186,0.808183824
1/1964,0.553966527,0.673081568,0.807893688
2/1964,0.550122403,0.669728897,0.806622849
3/1964,0.545414246,0.665501755,0.805890055
4/1964,0.554249006,0.670454704,0.807786895
5/1964,0.540927594,0.664131306,0.80835358
6/1964,0.53880263,0.66568703,0.812356317
7/1964,0.545409974,0.674347581,0.819784586
8/1964,0.560589163,0.688932717,0.827581412
9/1964,0.585223311,0.711183542,0.838086972
10/1964,0.625770202,0.743465473,0.851312307
11/1964,0.638383865,0.756528103,0.858193733
12/1964,0.612135948,0.735025915,0.84842676
1/1965,0.587186141,0.714200216,0.838731535
2/1965,0.568596669,0.698972726,0.831255091
3/1965,0.558394913,0.689937604,0.826100501
4/1965,0.555044036,0.685547336,0.8225313
5/1965,0.549037244,0.680880201,0.820274157
6/1965,0.548903522,0.68238422,0.821254719
7/1965,0.554357063,0.686039061,0.822699735
8/1965,0.552251918,0.681813535,0.820448577
9/1965,0.562652974,0.684928607,0.820865401
10/1965,0.558864824,0.683031958,0.821235912
11/1965,0.557719196,0.684588942,0.823508067
12/1965,0.567248265,0.694372626,0.829705217
1/1966,0.570191472,0.698575582,0.832466707
2/1966,0.577544226,0.70720823,0.83868543
3/1966,0.585400963,0.71563917,0.845210891
4/1966,0.596196391,0.724573783,0.849619214
5/1966,0.60399953,0.731024691,0.853142521
6/1966,0.599180644,0.728067841,0.853814828
7/1966,0.597741433,0.727018259,0.854441132
8/1966,0.601153477,0.729468644,0.856933609
9/1966,0.607543723,0.734161454,0.860533098
10/1966,0.606754568,0.732498447,0.860110443
11/1966,0.610827614,0.736150803,0.86215122
12/1966,0.611571414,0.737832251,0.864185867
1/1967,0.619143885,0.743753077,0.867117021
2/1967,0.619813085,0.745016317,0.869437368
3/1967,0.612044384,0.738514355,0.866889889
4/1967,0.612200235,0.737015186,0.864767304
5/1967,0.609691049,0.73596255,0.86507397
6/1967,0.610818629,0.740165358,0.869004285
7/1967,0.616023521,0.745658628,0.874482157
8/1967,0.623939618,0.751858616,0.876836297
9/1967,0.620981613,0.751175025,0.877240246
10/1967,0.624518914,0.753670996,0.879274211
11/1967,0.642377167,0.768897851,0.887004382
12/1967,0.65070894,0.774476867,0.889217286
1/1968,0.661733362,0.780862544,0.889360267
2/1968,0.639882526,0.765301447,0.88214828
3/1968,0.619837374,0.749878001,0.876135373
4/1968,0.619142188,0.747867507,0.873819235
5/1968,0.609825467,0.738074646,0.867494006
6/1968,0.602690879,0.733332563,0.864480552
7/1968,0.595087266,0.726702107,0.860474977
8/1968,0.594167949,0.725362516,0.859213422
