caldt,year,month,day,ym,date,index,ri
19620702,1962,7,2,1962.583,913,100,
19620703,1962,7,3,1962.583,914,101.1199,1.119937
19620705,1962,7,5,1962.583,916,101.6767,0.5505698
19620706,1962,7,6,1962.583,917,100.5216,-1.136025
19620709,1962,7,9,1962.583,920,101.2218,0.6966128
19620710,1962,7,10,1962.583,921,102.3709,1.135186
19620711,1962,7,11,1962.583,922,103.3943,0.9996588
19620712,1962,7,12,1962.583,923,103.8388,0.4299666
19620713,1962,7,13,1962.583,924,103.5217,-0.305414
19620716,1962,7,16,1962.583,927,103.5339,0.0118225
19620717,1962,7,17,1962.583,928,101.6551,-1.814655
19620718,1962,7,18,1962.583,929,100.6375,-1.001031
19620719,1962,7,19,1962.583,930,100.9867,0.3469523
19620720,1962,7,20,1962.583,931,101.7493,0.7551431
19620723,1962,7,23,1962.583,934,101.6821,-0.0660837
19620724,1962,7,24,1962.583,935,100.8626,-0.8059073
19620725,1962,7,25,1962.583,936,101.1414,0.2764725
19620726,1962,7,26,1962.583,937,101.659,0.5117017
19620727,1962,7,27,1962.583,938,102.4712,0.7989759
19620730,1962,7,30,1962.583,941,103.6152,1.116372
19620731,1962,7,31,1962.583,942,104.3552,0.7142412
19620801,1962,8,1,1962.667,943,103.5209,-0.7995403
19620802,1962,8,2,1962.667,944,103.9341,0.3991582
19620803,1962,8,3,1962.667,945,104.1862,0.2425394
19620806,1962,8,6,1962.667,948,103.514,-0.645136
19620807,1962,8,7,1962.667,949,102.8889,-0.6038593
19620808,1962,8,8,1962.667,950,103.2615,0.3620739
19620809,1962,8,9,1962.667,951,103.154,-0.1040914
19620810,1962,8,10,1962.667,952,103.3542,0.1941097
19620813,1962,8,13,1962.667,955,103.5619,0.2009629
19620814,1962,8,14,1962.667,956,104.7077,1.106322
19620815,1962,8,15,1962.667,957,105.4429,0.7021684
19620816,1962,8,16,1962.667,958,105.4249,-0.0170641
19620817,1962,8,17,1962.667,959,106.1447,0.6827886
19620820,1962,8,20,1962.667,962,106.7896,0.6075079
19620821,1962,8,21,1962.667,963,106.3812,-0.3823534
19620822,1962,8,22,1962.667,964,107.633,1.176687
19620823,1962,8,23,1962.667,965,107.4792,-0.1429389
19620824,1962,8,24,1962.667,966,107.2493,-0.2139021
19620827,1962,8,27,1962.667,969,107.1839,-0.0609393
19620828,1962,8,28,1962.667,970,105.9675,-1.134907
19620829,1962,8,29,1962.667,971,105.7665,-0.189654
19620830,1962,8,30,1962.667,972,105.7706,0.00388
19620831,1962,8,31,1962.667,973,106.6337,0.8159788
19620904,1962,9,4,1962.75,977,105.5816,-0.9866481
19620905,1962,9,5,1962.75,978,104.8649,-0.6787959
19620906,1962,9,6,1962.75,979,105.2927,0.4079697
19620907,1962,9,7,1962.75,980,105.317,0.0231021
19620910,1962,9,10,1962.75,983,105.4643,0.1397872
19620911,1962,9,11,1962.75,984,105.7391,0.2605599
19620912,1962,9,12,1962.75,985,106.1957,0.4318298
19620913,1962,9,13,1962.75,986,105.9198,-0.259811
19620914,1962,9,14,1962.75,987,106.2836,0.3434691
19620917,1962,9,17,1962.75,990,106.5887,0.287083
19620918,1962,9,18,1962.75,991,106.5246,-0.0601089
19620919,1962,9,19,1962.75,992,106.3807,-0.1350894
19620920,1962,9,20,1962.75,993,105.6433,-0.6931494
19620921,1962,9,21,1962.75,994,104.1221,-1.439968
19620924,1962,9,24,1962.75,997,102.1875,-1.858004
19620925,1962,9,25,1962.75,998,102.7822,0.5819315
19620926,1962,9,26,1962.75,999,101.288,-1.453702
19620927,1962,9,27,1962.75,1000,100.632,-0.6476264
19620928,1962,9,28,1962.75,1001,101.3959,0.7590611
19621001,1962,10,1,1962.833,1004,100.1337,-1.244815
19621002,1962,10,2,1962.833,1005,101.2757,1.140499
19621003,1962,10,3,1962.833,1006,101.4197,0.1421707
19621004,1962,10,4,1962.833,1007,102.3382,0.9056103
19621005,1962,10,5,1962.833,1008,103.0014,0.6480565
19621008,1962,10,8,1962.833,1011,102.9376,-0.0618918
19621009,1962,10,9,1962.833,1012,103.2865,0.3389554
19621010,1962,10,10,1962.833,1013,103.2937,0.0069
19621011,1962,10,11,1962.833,1014,103.0022,-0.2821618
19621012,1962,10,12,1962.833,1015,102.8259,-0.1711522
19621015,1962,10,15,1962.833,1018,103.4268,0.5843203
19621016,1962,10,16,1962.833,1019,103.1424,-0.2749316
19621017,1962,10,17,1962.833,1020,102.7689,-0.3621422
19621018,1962,10,18,1962.833,1021,101.7826,-0.9597052
19621019,1962,10,19,1962.833,1022,100.4059,-1.352598
19621022,1962,10,22,1962.833,1025,99.28103,-1.120313
19621023,1962,10,23,1962.833,1026,96.62518,-2.675088
19621024,1962,10,24,1962.833,1027,99.74382,3.227569
19621025,1962,10,25,1962.833,1028,98.82507,-0.921106
